"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Remove-MsolUser","MSOnline","Remove-MgUser","Microsoft.Graph.Users","DeviceManagementApps.ReadWrite.All;DeviceManagementConfiguration.ReadWrite.All;DeviceManagementManagedDevices.ReadWrite.All;DeviceManagementServiceConfig.ReadWrite.All;User.ReadWrite.All","DELETE /users/{user-id}","True","False"
"Remove-AzureADMSRoleDefinition","AzureAD","Remove-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","CloudPC.ReadWrite.All;DeviceManagementRBAC.ReadWrite.All;Directory.ReadWrite.All;RoleManagement.ReadWrite.CloudPC;RoleManagement.ReadWrite.Directory","DELETE /roleManagement/directory/roleDefinitions/{unifiedRoleDefinition-id}","True","False"
"Add-AzureADServicePrincipalOwner","AzureAD","New-MgServicePrincipalOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.Read.All","POST /servicePrincipals/{servicePrincipal-id}/owners/$ref","True","False"
"New-AzureADApplicationKeyCredential","AzureAD","Add-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /applications/{application-id}/addKey","True","False"
"Get-AzureADMSRoleDefinition","AzureAD","Get-MgRoleManagementDirectoryRoleDefinition","Microsoft.Graph.DeviceManagement.Enrolment","CloudPC.Read.All;CloudPC.ReadWrite.All;DeviceManagementRBAC.Read.All;DeviceManagementRBAC.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All;EntitlementManagement.Read.All;EntitlementManagement.ReadWrite.All;RoleManagement.Read.All;RoleManagement.Read.CloudPC;RoleManagement.Read.Directory;RoleManagement.ReadWrite.CloudPC;RoleManagement.ReadWrite.Directory","GET /roleManagement/directory/roleDefinitions","True","False"
"Set-AzureADApplicationProxyApplicationConnectorGroup","AzureAD","","","","","False","False"
"Convert-MsolFederatedUser","MSOnline","","","","","False","False"
"Remove-AzureADMSPermissionGrantConditionSet","AzureAD","Remove-MgPolicyPermissionGrantPolicyExclude","Microsoft.Graph.Identity.SignIns","Policy.ReadWrite.PermissionGrant","DELETE /policies/permissionGrantPolicies/{permissionGrantPolicy-id}/excludes/{permissionGrantConditionSet-id}","True","False"
"Get-AzureADServicePrincipal","AzureAD","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals","True","False"
"Set-AzureADMSGroup","AzureAD","Update-MgGroup","Microsoft.Graph.Groups","Directory.ReadWrite.All;Group.ReadWrite.All","PATCH /groups/{group-id}","True","False"
"Get-AzureADMSGroupLifecyclePolicy","AzureAD","Get-MgGroupLifecyclePolicy","Microsoft.Graph.Groups","Directory.Read.All;Directory.ReadWrite.All","GET /groupLifecyclePolicies","True","False"
"Remove-AzureADApplicationOwner","AzureAD","Remove-MgApplicationOwnerByRef","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","DELETE /applications/{application-id}/owners/{directoryObject-id}/$ref","True","False"
"Set-AzureADDomain","AzureAD","Update-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","PATCH /domains/{domain-id}","True","False"
"Set-AzureADTrustedCertificateAuthority","AzureAD","","","","","False","False"
"Get-MsolSubscription","MSOnline","Get-MgSubscribedSku","Microsoft.Graph.Identity.DirectoryManagement","Directory.Read.All;Directory.ReadWrite.All;Organization.Read.All;Organization.ReadWrite.All","GET /subscribedSkus","True","False"
"Remove-AzureADApplicationKeyCredential","AzureAD","Remove-MgApplicationKey","Microsoft.Graph.Applications","Application.ReadWrite.All;Directory.ReadWrite.All","POST /applications/{application-id}/removeKey","True","False"
"Set-MsolDomain","MSOnline","Update-MgDomain","Microsoft.Graph.Identity.DirectoryManagement","Domain.ReadWrite.All","PATCH /domains/{domain-id}","True","False"
"Get-AzureADMSGroup","AzureAD","Get-MgGroup","Microsoft.Graph.Groups","Directory.Read.All;Directory.ReadWrite.All;Group.Read.All;Group.ReadWrite.All;GroupMember.Read.All","GET /groups","True","False"
"Set-AzureADMSAdministrativeUnit","AzureAD","Update-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","PATCH /directory/administrativeUnits/{administrativeUnit-id}","True","False"
"Get-MsolServicePrincipalCredential","MSOnline","Get-MgServicePrincipal","Microsoft.Graph.Applications","Application.Read.All;Application.ReadWrite.All;Directory.Read.All;Directory.ReadWrite.All","GET /servicePrincipals","True","False"
"New-AzureADMSAdministrativeUnit","AzureAD","New-MgDirectoryAdministrativeUnit","Microsoft.Graph.Identity.DirectoryManagement","AdministrativeUnit.ReadWrite.All","POST /directory/administrativeUnits","True","False"
"Get-MsolGroupMember","MSOnline","Get-MgGroupMember","Microsoft.Graph.Groups","Directory.Read.All;Group.Read.All;Group.ReadWrite.All;GroupMember.Read.All;GroupMember.ReadWrite.All","GET /groups/{group-id}/members","True","False"
"Set-AzureADApplicationProxyConnector","AzureAD","","","","","False","False"
