"AadCmdName","AadModuleName","GraphCmdName","GraphModuleName","AadParamName","GraphParamName","GraphCmdScope","GraphUri","IsV1","IsBeta"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","OdataType","","","","False","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","Id","Id","","","False","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","DisplayName","DisplayName","","","False","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","IpRanges","","","","False","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","IsTrusted","","","","False","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","CountriesAndRegions","","","","False","False"
"Set-AzureADMSNamedLocationPolicy","AzureAD","Update-MgIdentityConditionalAccessNamedLocation","","IncludeUnknownCountriesAndRegions","","","","False","False"
"Set-MsolGroup","MSOnline","Update-MgGroup","","ObjectId","","","","False","False"
"Set-MsolGroup","MSOnline","Update-MgGroup","","DisplayName","DisplayName","","","False","False"
"Set-MsolGroup","MSOnline","Update-MgGroup","","Description","Description","","","False","False"
"Set-MsolGroup","MSOnline","Update-MgGroup","","ManagedBy","","","","False","False"
"Set-MsolGroup","MSOnline","Update-MgGroup","","TenantId","","","","False","False"
"Get-AzureADApplicationLogo","AzureAD","Get-MgApplicationLogo","","ObjectId","","","","False","False"
"Get-AzureADApplicationLogo","AzureAD","Get-MgApplicationLogo","","FilePath","","","","False","False"
"Get-AzureADApplicationLogo","AzureAD","Get-MgApplicationLogo","","FileName","","","","False","False"
"Get-AzureADApplicationLogo","AzureAD","Get-MgApplicationLogo","","View","","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","All","All","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","ReturnRegisteredOwners","","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","IncludeSystemManagedDevices","","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","LogonTimeBefore","","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","DeviceId","DeviceId","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","Name","","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","ObjectId","","","","False","False"
"Get-MsolDevice","MSOnline","Get-MgDevice","","RegisteredOwnerUpn","","","","False","False"
"Update-MsolFederatedDomain","MSOnline","","","SupportMultipleDomain","","","","False","False"
"Update-MsolFederatedDomain","MSOnline","","","DomainName","","","","False","False"
"New-AzureADMSRoleAssignment","AzureAD","New-MgRoleManagementDirectoryRoleAssignment","","RoleDefinitionId","RoleDefinitionId","","","False","False"
"New-AzureADMSRoleAssignment","AzureAD","New-MgRoleManagementDirectoryRoleAssignment","","PrincipalId","PrincipalId","","","False","False"
"New-AzureADMSRoleAssignment","AzureAD","New-MgRoleManagementDirectoryRoleAssignment","","DirectoryScopeId","DirectoryScopeId","","","False","False"
"Set-MsolCompanyContactInformation","MSOnline","Update-MgOrganization","","TechnicalNotificationEmails","","","","False","False"
